cohort_month_key,months_since_first_order,cohort_customers,active_customers,retention_pct
200912,0,86,86,100.0
200912,1,86,40,46.51
200912,2,86,41,47.67
200912,3,86,44,51.16
200912,4,86,39,45.35
200912,5,86,35,40.7
200912,6,86,34,39.53
200912,7,86,31,36.05
200912,8,86,25,29.07
200912,9,86,28,32.56
200912,10,86,24,27.91
200912,11,86,28,32.56
200912,12,86,21,24.42
200912,13,86,17,19.77
200912,14,86,12,13.95
200912,15,86,11,12.79
200912,16,86,13,15.12
200912,17,86,5,5.81
200912,18,86,6,6.98
200912,19,86,7,8.14
200912,20,86,6,6.98
200912,21,86,6,6.98
200912,22,86,4,4.65
200912,23,86,4,4.65
200912,24,86,4,4.65
201001,0,81,81,100.0
201001,1,81,39,48.15
201001,2,81,48,59.26
201001,3,81,38,46.91
201001,4,81,29,35.8
201001,5,81,24,29.63
201001,6,81,29,35.8
201001,7,81,21,25.93
201001,8,81,16,19.75
201001,9,81,21,25.93
201001,10,81,21,25.93
201001,11,81,18,22.22
201001,12,81,14,17.28
201001,13,81,13,16.05
201001,14,81,12,14.81
201001,15,81,9,11.11
201001,16,81,7,8.64
201001,17,81,10,12.35
201001,18,81,6,7.41
201001,19,81,6,7.41
201001,20,81,4,4.94
201001,21,81,5,6.17
201001,22,81,4,4.94
201001,23,81,2,2.47
201002,0,95,95,100.0
201002,1,95,55,57.89
201002,2,95,45,47.37
201002,3,95,32,33.68
201002,4,95,40,42.11
201002,5,95,27,28.42
201002,6,95,30,31.58
201002,7,95,29,30.53
201002,8,95,35,36.84
201002,9,95,33,34.74
201002,10,95,23,24.21
201002,11,95,12,12.63
201002,12,95,10,10.53
201002,13,95,11,11.58
201002,14,95,16,16.84
201002,15,95,12,12.63
201002,16,95,11,11.58
201002,17,95,13,13.68
201002,18,95,10,10.53
201002,19,95,8,8.42
201002,20,95,9,9.47
201002,21,95,10,10.53
201002,22,95,4,4.21
201003,0,140,140,100.0
201003,1,140,85,60.71
201003,2,140,68,48.57
201003,3,140,63,45.0
201003,4,140,67,47.86
201003,5,140,57,40.71
201003,6,140,52,37.14
201003,7,140,46,32.86
201003,8,140,49,35.0
201003,9,140,45,32.14
201003,10,140,32,22.86
201003,11,140,24,17.14
201003,12,140,33,23.57
201003,13,140,22,15.71
201003,14,140,27,19.29
201003,15,140,21,15.0
201003,16,140,24,17.14
201003,17,140,17,12.14
201003,18,140,18,12.86
201003,19,140,14,10.0
201003,20,140,16,11.43
201003,21,140,6,4.29
201004,0,133,133,100.0
201004,1,133,74,55.64
201004,2,133,84,63.16
201004,3,133,68,51.13
201004,4,133,51,38.35
201004,5,133,56,42.11
201004,6,133,53,39.85
201004,7,133,62,46.62
201004,8,133,54,40.6
201004,9,133,34,25.56
201004,10,133,24,18.05
201004,11,133,31,23.31
201004,12,133,27,20.3
201004,13,133,33,24.81
201004,14,133,24,18.05
201004,15,133,21,15.79
201004,16,133,21,15.79
201004,17,133,18,13.53
201004,18,133,21,15.79
201004,19,133,22,16.54
201004,20,133,15,11.28
201005,0,120,120,100.0
201005,1,120,69,57.5
201005,2,120,61,50.83
201005,3,120,58,48.33
201005,4,120,43,35.83
201005,5,120,53,44.17
201005,6,120,50,41.67
201005,7,120,43,35.83
201005,8,120,26,21.67
201005,9,120,26,21.67
201005,10,120,31,25.83
201005,11,120,28,23.33
201005,12,120,25,20.83
201005,13,120,26,21.67
201005,14,120,23,19.17
201005,15,120,20,16.67
201005,16,120,19,15.83
201005,17,120,20,16.67
201005,18,120,20,16.67
201005,19,120,10,8.33
201006,0,134,134,100.0
201006,1,134,85,63.43
201006,2,134,76,56.72
201006,3,134,71,52.99
201006,4,134,66,49.25
201006,5,134,69,51.49
201006,6,134,68,50.75
201006,7,134,35,26.12
201006,8,134,34,25.37
201006,9,134,37,27.61
201006,10,134,31,23.13
201006,11,134,25,18.66
201006,12,134,19,14.18
201006,13,134,18,13.43
201006,14,134,14,10.45
201006,15,134,16,11.94
201006,16,134,17,12.69
201006,17,134,17,12.69
201006,18,134,8,5.97
201007,0,106,106,100.0
201007,1,106,51,48.11
201007,2,106,59,55.66
201007,3,106,57,53.77
201007,4,106,59,55.66
201007,5,106,52,49.06
201007,6,106,35,33.02
201007,7,106,27,25.47
201007,8,106,39,36.79
201007,9,106,31,29.25
201007,10,106,35,33.02
201007,11,106,26,24.53
201007,12,106,26,24.53
201007,13,106,22,20.75
201007,14,106,21,19.81
201007,15,106,22,20.75
201007,16,106,21,19.81
201007,17,106,4,3.77
201008,0,111,111,100.0
201008,1,111,57,51.35
201008,2,111,63,56.76
201008,3,111,58,52.25
201008,4,111,53,47.75
201008,5,111,33,29.73
201008,6,111,31,27.93
201008,7,111,23,20.72
201008,8,111,26,23.42
201008,9,111,23,20.72
201008,10,111,22,19.82
201008,11,111,15,13.51
201008,12,111,15,13.51
201008,13,111,17,15.32
201008,14,111,17,15.32
201008,15,111,17,15.32
201008,16,111,6,5.41
201009,0,114,114,100.0
201009,1,114,67,58.77
201009,2,114,67,58.77
201009,3,114,65,57.02
201009,4,114,32,28.07
201009,5,114,35,30.7
201009,6,114,36,31.58
201009,7,114,33,28.95
201009,8,114,30,26.32
201009,9,114,23,20.18
201009,10,114,25,21.93
201009,11,114,22,19.3
201009,12,114,21,18.42
201009,13,114,18,15.79
201009,14,114,19,16.67
201009,15,114,8,7.02
201010,0,123,123,100.0
201010,1,123,85,69.11
201010,2,123,73,59.35
201010,3,123,43,34.96
201010,4,123,42,34.15
201010,5,123,41,33.33
201010,6,123,40,32.52
201010,7,123,41,33.33
201010,8,123,35,28.46
201010,9,123,31,25.2
201010,10,123,29,23.58
201010,11,123,25,20.33
201010,12,123,32,26.02
201010,13,123,30,24.39
201010,14,123,10,8.13
201011,0,132,132,100.0
201011,1,132,82,62.12
201011,2,132,46,34.85
201011,3,132,43,32.58
201011,4,132,60,45.45
201011,5,132,48,36.36
201011,6,132,42,31.82
201011,7,132,43,32.58
201011,8,132,42,31.82
201011,9,132,34,25.76
201011,10,132,31,23.48
201011,11,132,39,29.55
201011,12,132,35,26.52
201011,13,132,15,11.36
201012,0,107,107,100.0
201012,1,107,47,43.93
201012,2,107,43,40.19
201012,3,107,43,40.19
201012,4,107,40,37.38
201012,5,107,37,34.58
201012,6,107,37,34.58
201012,7,107,29,27.1
201012,8,107,22,20.56
201012,9,107,27,25.23
201012,10,107,26,24.3
201012,11,107,21,19.63
201012,12,107,9,8.41
201101,0,59,59,100.0
201101,1,59,29,49.15
201101,2,59,24,40.68
201101,3,59,25,42.37
201101,4,59,22,37.29
201101,5,59,21,35.59
201101,6,59,22,37.29
201101,7,59,11,18.64
201101,8,59,12,20.34
201101,9,59,12,20.34
201101,10,59,14,23.73
201101,11,59,5,8.47
201102,0,79,79,100.0
201102,1,79,43,54.43
201102,2,79,37,46.84
201102,3,79,33,41.77
201102,4,79,31,39.24
201102,5,79,27,34.18
201102,6,79,16,20.25
201102,7,79,23,29.11
201102,8,79,24,30.38
201102,9,79,22,27.85
201102,10,79,6,7.59
201103,0,78,78,100.0
201103,1,78,41,52.56
201103,2,78,40,51.28
201103,3,78,34,43.59
201103,4,78,32,41.03
201103,5,78,23,29.49
201103,6,78,23,29.49
201103,7,78,22,28.21
201103,8,78,17,21.79
201103,9,78,9,11.54
201104,0,71,71,100.0
201104,1,71,43,60.56
201104,2,71,33,46.48
201104,3,71,32,45.07
201104,4,71,35,49.3
201104,5,71,28,39.44
201104,6,71,29,40.85
201104,7,71,27,38.03
201104,8,71,10,14.08
201105,0,79,79,100.0
201105,1,79,46,58.23
201105,2,79,37,46.84
201105,3,79,27,34.18
201105,4,79,37,46.84
201105,5,79,26,32.91
201105,6,79,24,30.38
201105,7,79,10,12.66
201106,0,74,74,100.0
201106,1,74,36,48.65
201106,2,74,36,48.65
201106,3,74,30,40.54
201106,4,74,32,43.24
201106,5,74,29,39.19
201106,6,74,10,13.51
201107,0,68,68,100.0
201107,1,68,32,47.06
201107,2,68,32,47.06
201107,3,68,28,41.18
201107,4,68,24,35.29
201107,5,68,13,19.12
201108,0,69,69,100.0
201108,1,69,32,46.38
