customer_key,customer_id,country,cohort_label,net_revenue,net_revenue_cmp,returns_value,orders,revenue_rank,cumulative_revenue_share_pct
2322,14789,United Kingdom,2010-03,13537.48,767.51,38.43,3,1,5.87
1677,14122,United Kingdom,2011-02,13443.16,0.0,0.0,3,2,11.7
721,13142,France,2010-04,1634.93,949.94,0.0,6,3,12.41
380,12791,United Kingdom,2011-05,1559.14,0.0,43.44,12,4,13.09
1684,14129,United Kingdom,2011-08,1559.05,0.0,0.0,3,5,13.76
2160,14623,United Kingdom,2011-09,1498.18,0.0,0.0,7,6,14.41
861,13286,United Kingdom,2010-03,1495.95,1482.53,0.0,9,7,15.06
1812,14263,United Kingdom,2011-05,1311.29,0.0,83.86,9,8,15.63
1241,13676,United Kingdom,2010-10,1308.89,1178.14,84.92,7,9,16.2
1213,13648,United Kingdom,2011-04,1293.06,0.0,65.17,5,10,16.76
694,13114,United Kingdom,2010-03,1211.21,1626.4,92.34,6,11,17.28
1522,13965,United Kingdom,2011-09,1163.95,0.0,37.3,6,12,17.79
2118,14581,United Kingdom,2011-06,1133.09,0.0,0.0,10,13,18.28
1426,13866,United Kingdom,2011-09,1130.9,0.0,49.8,5,14,18.77
660,13079,United Kingdom,2010-09,1106.58,521.22,38.28,6,15,19.25
2029,14488,United Kingdom,2010-06,1093.73,971.72,0.0,5,16,19.72
452,12864,United Kingdom,2011-02,1068.02,0.0,0.0,7,17,20.19
351,12759,United Kingdom,2010-06,1065.18,150.71,52.02,7,18,20.65
1974,14432,United Kingdom,2011-09,1052.56,0.0,0.0,6,19,21.1
1898,14352,United Kingdom,2010-09,1030.64,590.64,0.0,6,20,21.55
1630,14075,United Kingdom,2010-04,1019.5,254.96,0.0,5,21,21.99
408,12819,United Kingdom,2011-05,1015.65,0.0,65.86,5,22,22.43
1706,14152,United Kingdom,2010-10,1006.48,576.74,0.0,4,23,22.87
2078,14539,United Kingdom,2010-11,1001.31,142.64,0.0,6,24,23.3
986,13412,United Kingdom,2010-09,997.63,96.15,150.27,5,25,23.74
808,13231,United Kingdom,2010-11,993.6,151.16,21.33,4,26,24.17
2036,14495,United Kingdom,2010-03,986.75,1295.09,0.0,4,27,24.6
30,12431,United Kingdom,2010-05,982.33,1354.06,66.12,6,28,25.02
481,12894,United Kingdom,2011-02,981.35,0.0,25.2,6,29,25.45
2294,14760,France,2010-12,978.85,0.0,29.52,5,30,25.87
787,13210,United Kingdom,2010-12,970.54,0.0,0.0,7,31,26.29
495,12909,United Kingdom,2011-02,953.08,0.0,0.0,3,32,26.71
1874,14328,France,2010-05,947.65,759.25,0.0,3,33,27.12
1128,13558,United Kingdom,2010-04,936.93,1162.84,0.0,4,34,27.52
2033,14492,United Kingdom,2010-12,920.05,0.0,0.0,6,35,27.92
1629,14074,United Kingdom,2010-10,907.58,1014.1,116.12,6,36,28.32
527,12942,United Kingdom,2010-07,900.83,299.54,73.59,6,37,28.71
280,12686,United Kingdom,2011-08,890.89,0.0,0.0,5,38,29.09
500,12914,United Kingdom,2010-08,889.72,630.87,52.8,5,39,29.48
1592,14036,United Kingdom,2010-03,884.28,84.35,0.0,6,40,29.86
950,13376,United Kingdom,2010-07,866.08,494.86,99.59,9,41,30.24
1236,13671,United Kingdom,2010-12,858.11,0.0,59.66,7,42,30.61
1277,13712,United Kingdom,2011-11,842.36,0.0,0.0,5,43,30.98
1068,13496,United Kingdom,2011-10,839.38,0.0,125.46,5,44,31.34
960,13386,EIRE,2011-10,837.86,0.0,0.0,5,45,31.7
1171,13604,United Kingdom,2009-12,836.5,473.45,12.0,7,46,32.07
669,13089,United Kingdom,2011-03,827.94,0.0,0.0,4,47,32.42
1771,14219,United Kingdom,2011-02,827.57,0.0,63.48,4,48,32.78
2062,14522,United Kingdom,2011-09,809.23,0.0,112.6,4,49,33.13
78,12480,France,2010-12,802.1,0.0,0.0,4,50,33.48
126,12528,United Kingdom,2010-07,787.0,929.21,84.51,6,51,33.82
749,13171,France,2011-05,774.22,0.0,0.0,3,52,34.16
1209,13642,United Kingdom,2010-08,761.08,625.56,12.96,5,53,34.49
2205,14669,EIRE,2011-11,758.83,0.0,0.0,5,54,34.82
62,12464,United Kingdom,2011-07,754.06,0.0,56.28,5,55,35.15
625,13044,United Kingdom,2011-07,742.48,0.0,0.0,3,56,35.47
2216,14680,United Kingdom,2010-04,740.62,665.27,27.37,5,57,35.79
279,12685,United Kingdom,2011-05,735.87,0.0,0.0,3,58,36.11
2114,14577,Germany,2011-06,732.39,0.0,0.0,4,59,36.42
775,13197,Switzerland,2010-09,724.05,883.03,40.68,4,60,36.74
1532,13976,Netherlands,2011-10,722.64,0.0,0.0,3,61,37.05
72,12474,United Kingdom,2010-09,720.71,1342.57,16.45,5,62,37.36
1469,13909,United Kingdom,2010-10,714.45,30.68,26.64,3,63,37.67
1080,13508,United Kingdom,2011-09,694.52,0.0,86.78,5,64,37.98
930,13356,United Kingdom,2010-11,691.24,508.02,25.0,3,65,38.28
