country,net_revenue_cur,net_revenue_cmp,net_revenue_delta,net_revenue_change_pct,active_customers_cur,active_customers_cmp,orders_cur,orders_cmp,return_rate_cur_pct
United Kingdom,203452.76,243591.92,-40139.16,-16.48,551,614,1268,1513,5.34
Unidentified,52405.58,87542.11,-35136.53,-40.14,0,0,392,492,5.79
France,9111.15,11805.34,-2694.19,-22.82,21,25,53,73,4.85
Germany,4814.64,14003.28,-9188.64,-65.62,18,29,33,85,2.13
EIRE,3870.07,4943.47,-1073.4,-21.71,10,12,30,33,2.59
Switzerland,2152.1,1718.88,433.22,25.2,8,5,15,9,4.45
Netherlands,1936.48,2587.15,-650.67,-25.15,7,9,16,16,7.91
Spain,1873.03,2333.85,-460.82,-19.75,9,8,12,18,3.14
Belgium,1699.64,3850.59,-2150.95,-55.86,8,10,13,23,9.63
Norway,844.71,580.74,263.97,45.45,3,1,5,3,0.0
Australia,719.39,2651.63,-1932.24,-72.87,2,6,5,17,6.57
Portugal,125.1,1295.83,-1170.73,-90.35,2,6,2,10,0.0
