month_key,month_label,year,quarter_label,is_complete_month,gross_revenue,returns_value,net_revenue,net_revenue_guest,net_revenue_identified,gross_revenue_identified,units_gross,units_returned,units_gross_identified,orders,orders_identified,credit_notes,active_customers,new_customers,returning_customers,orders_per_customer,units_per_order,avg_unit_price,return_rate_identified,return_rate_pct,aov,revenue_per_active_customer,guest_revenue_share_pct,revenue_retained,kpi_tree_value,kpi_tree_residual
200912,2009-12,2009,2009-Q4,0,32498.22,302.94,32195.28,6139.79,26055.49,26303.71,6785,58,5534,215,168,6,86,86,0,1.9535,32.9405,4.7531,0.009437,0.9322,149.75,302.97,19.07,0.990563,26055.601728914447,-0.1117289144458482
201001,2010-01,2010,2010-Q1,1,38539.46,1253.97,37285.49,9916.9,27368.59,28259.91,9269,253,7097,246,191,26,127,81,46,1.5039,37.1571,3.982,0.03154,3.2537,151.57,215.5,26.6,0.96846,27368.27563616882,0.31436383118125377
201002,2010-02,2010,2010-Q1,1,54454.12,1300.25,53153.87,12912.49,40241.38,41097.0,14337,288,11614,358,278,34,178,95,83,1.5618,41.777,3.5386,0.02082,2.3878,148.47,226.08,24.29,0.97918,40241.73329692131,-0.3532969213119941
201003,2010-03,2010,2010-Q1,1,117533.42,21939.0,95594.42,19370.75,76223.67,97670.23,22670,510,18316,683,539,60,290,140,150,1.8586,33.9814,5.3325,0.219581,18.6662,139.96,262.84,20.26,0.780419,76222.62415632037,1.045843679632526
201004,2010-04,2010,2010-Q2,1,115268.84,2401.76,112867.08,22921.94,89945.14,91702.78,28175,558,23277,732,581,71,350,133,217,1.66,40.0637,3.9396,0.019167,2.0836,154.19,256.99,20.31,0.980833,89944.45312131355,0.6868786864506546
201005,2010-05,2010,2010-Q2,1,169202.08,2758.95,166443.13,27350.91,139092.22,141342.36,32946,668,24607,870,679,85,370,120,250,1.8351,36.2401,5.744,0.01592,1.6306,191.31,375.92,16.43,0.98408,139089.92834763406,2.2916523659368977
201006,2010-06,2010,2010-Q2,1,159286.46,3264.69,156021.77,31338.74,124683.03,127218.83,36080,704,27945,1040,814,88,452,134,318,1.8009,34.3305,4.5525,0.019933,2.0496,150.02,275.85,20.09,0.980067,124684.90601653125,-1.8760165312560275
201007,2010-07,2010,2010-Q3,1,165612.78,4426.72,161186.06,39547.3,121638.76,125615.15,35089,940,28362,1030,823,121,485,106,379,1.6969,34.4617,4.429,0.031655,2.6729,156.49,250.8,24.54,0.968345,121638.33880820296,0.4211917970387731
201008,2010-08,2010,2010-Q3,1,183735.67,4476.03,179259.64,35993.41,143266.23,146750.08,38376,908,29000,1042,816,115,487,111,376,1.6756,35.5392,5.0603,0.02374,2.4361,172.03,294.18,20.08,0.97626,143267.84242557533,-1.6124255753238685
201009,2010-09,2010,2010-Q3,1,207235.31,4331.85,202903.46,36912.58,165990.88,169389.84,48445,936,36740,1306,1051,117,537,114,423,1.9572,34.9572,4.6105,0.020066,2.0903,155.36,309.11,18.19,0.979934,165993.46273706545,-2.5827370654442348
