product_key,stock_code,description,product_family,is_non_product,net_revenue_cur,net_revenue_cmp,net_revenue_delta,gross_revenue_cur,gross_revenue_cmp,returns_cur,returns_cmp,units_cur,units_cmp,orders_cur,return_rate_cur_pct,return_rate_cmp_pct,net_revenue_change_pct,revenue_rank,cumulative_revenue_share_pct
113,20495,RED STORAGE SIGN,STORAGE,0,17981.18,6107.15,11874.03,18240.47,6450.48,259.29,343.33,557,695,70,1.42,5.32,194.43,1,6.35
76,20346,LARGE PAPER WATER BOTTLE,PAPER,0,13426.92,360.12,13066.8,13442.78,376.52,15.86,16.4,295,319,37,0.12,4.36,3628.46,2,11.1
118,20529,GREEN STORAGE LUNCH BAG,STORAGE,0,8872.9,15330.23,-6457.33,9345.95,15662.02,473.05,331.79,705,1162,89,5.06,2.12,-42.12,3,14.23
117,20522,WHITE STORAGE CANDLE PLATE,STORAGE,0,8547.71,11845.61,-3297.9,8809.26,12077.28,261.55,231.67,934,1288,115,2.97,1.92,-27.84,4,17.25
108,20465,WHITE STORAGE NAPKINS,STORAGE,0,8498.96,9671.85,-1172.89,8759.13,9945.33,260.17,273.48,2035,1007,104,2.97,2.75,-12.13,5,20.26
112,20487,SMALL STORAGE LUNCH BAG,STORAGE,0,8254.31,8212.02,42.29,8557.15,8702.38,302.84,490.36,626,644,72,3.54,5.63,0.51,6,23.17
105,20454,BLUE STORAGE CAKE STAND,STORAGE,0,7721.41,10118.72,-2397.31,8021.59,10445.25,300.18,326.53,983,1300,126,3.74,3.13,-23.69,7,25.9
55,20250,RED LANTERN JAR,LANTERN,0,7273.13,7488.61,-215.48,7438.18,7527.61,165.05,39.0,1139,1150,137,2.22,0.52,-2.88,8,28.47
119,20531,GREEN STORAGE DOORSTOP,STORAGE,0,7182.32,11171.87,-3989.55,7402.14,11284.55,219.82,112.68,695,1038,95,2.97,1.0,-35.71,9,31.01
79,20352,GREEN PAPER CANDLE PLATE,PAPER,0,6924.67,9982.34,-3057.67,7203.79,10232.53,279.12,250.19,2549,4861,318,3.87,2.45,-30.63,10,33.46
101,20439,ANTIQUE VINTAGE DOORSTOP,VINTAGE,0,6892.48,8519.53,-1627.05,7088.04,8727.2,195.56,207.67,1016,1243,126,2.76,2.38,-19.1,11,35.89
116,20515,CREAM STORAGE NOTEBOOK,STORAGE,0,5805.12,7576.56,-1771.44,6060.76,7802.25,255.64,225.69,889,1151,115,4.22,2.89,-23.38,12,37.94
51,20239,LARGE LANTERN JAR,LANTERN,0,5128.38,6280.93,-1152.55,5430.37,6427.93,301.99,147.0,717,838,87,5.56,2.29,-18.35,13,39.76
46,20213,PINK LANTERN MUG,LANTERN,0,4979.81,7763.99,-2784.18,5387.84,7881.82,408.03,117.83,1076,1564,133,7.57,1.49,-35.86,14,41.51
56,20255,WHITE LANTERN CLOCK,LANTERN,0,4510.38,4696.4,-186.02,4617.75,4870.84,107.37,174.44,397,411,44,2.33,3.58,-3.96,15,43.11
31,20142,RED CERAMIC NAPKINS,CERAMIC,0,4412.83,6380.97,-1968.14,4502.33,6547.32,89.5,166.35,1236,1805,152,1.99,2.54,-30.84,16,44.67
85,20380,PINK VINTAGE APRON,VINTAGE,0,4003.37,3964.45,38.92,4129.38,3997.01,126.01,32.56,2146,996,100,3.05,0.81,0.98,17,46.08
43,20195,GREEN CERAMIC LUNCH BAG,CERAMIC,0,3845.0,4765.23,-920.23,3935.6,4966.73,90.6,201.5,1005,1287,128,2.3,4.06,-19.31,18,47.44
115,20509,SMALL STORAGE MUG,STORAGE,0,3680.54,5146.98,-1466.44,3960.09,5270.78,279.55,123.8,626,844,82,7.06,2.35,-28.49,19,48.74
