month_key,month_label,product_family,gross_revenue,returns_value,return_rate_pct
200912,2009-12,CERAMIC,4389.64,53.67,1.22
200912,2009-12,GLASS,4811.65,21.78,0.45
200912,2009-12,LANTERN,5072.76,49.32,0.97
200912,2009-12,NON_PRODUCT,357.69,0.0,0.0
200912,2009-12,PAPER,2820.26,0.0,0.0
200912,2009-12,STORAGE,9765.45,99.6,1.02
200912,2009-12,VINTAGE,5280.77,78.57,1.49
201001,2010-01,CERAMIC,5554.4,247.76,4.46
201001,2010-01,GLASS,5525.95,218.67,3.96
201001,2010-01,LANTERN,5387.33,70.63,1.31
201001,2010-01,NON_PRODUCT,644.32,0.0,0.0
201001,2010-01,PAPER,3414.11,48.97,1.43
201001,2010-01,STORAGE,12452.56,546.0,4.38
201001,2010-01,VINTAGE,5560.79,121.94,2.19
201002,2010-02,CERAMIC,7952.95,163.59,2.06
201002,2010-02,GLASS,7791.84,165.36,2.12
201002,2010-02,LANTERN,7364.49,197.87,2.69
201002,2010-02,NON_PRODUCT,671.87,0.0,0.0
201002,2010-02,PAPER,5510.86,113.48,2.06
201002,2010-02,STORAGE,16163.66,554.45,3.43
201002,2010-02,VINTAGE,8998.45,105.5,1.17
201003,2010-03,CERAMIC,13192.35,231.48,1.75
201003,2010-03,GLASS,14735.85,200.48,1.36
201003,2010-03,LANTERN,14104.0,205.15,1.45
201003,2010-03,NON_PRODUCT,2734.28,0.0,0.0
201003,2010-03,PAPER,27195.37,245.93,0.9
201003,2010-03,STORAGE,28986.64,1043.71,3.6
201003,2010-03,VINTAGE,16584.93,20012.25,120.67
201004,2010-04,CERAMIC,17057.64,361.96,2.12
201004,2010-04,GLASS,17073.25,277.92,1.63
201004,2010-04,LANTERN,15153.7,352.22,2.32
201004,2010-04,NON_PRODUCT,1596.31,0.0,0.0
201004,2010-04,PAPER,11626.74,313.66,2.7
201004,2010-04,STORAGE,35536.71,585.77,1.65
201004,2010-04,VINTAGE,17224.49,510.23,2.96
201005,2010-05,CERAMIC,31653.96,632.25,2.0
201005,2010-05,GLASS,19409.82,395.33,2.04
201005,2010-05,LANTERN,20002.26,89.56,0.45
201005,2010-05,NON_PRODUCT,1411.12,0.0,0.0
201005,2010-05,PAPER,11668.23,301.46,2.58
201005,2010-05,STORAGE,53842.75,867.43,1.61
201005,2010-05,VINTAGE,31213.94,472.92,1.52
201006,2010-06,CERAMIC,21409.87,431.35,2.01
201006,2010-06,GLASS,23262.49,421.88,1.81
201006,2010-06,LANTERN,20958.51,424.43,2.03
201006,2010-06,NON_PRODUCT,1706.55,0.0,0.0
201006,2010-06,PAPER,21134.79,488.26,2.31
201006,2010-06,STORAGE,46829.54,1066.43,2.28
201006,2010-06,VINTAGE,23984.71,432.34,1.8
201007,2010-07,CERAMIC,21852.38,668.77,3.06
201007,2010-07,GLASS,24590.25,492.61,2.0
201007,2010-07,LANTERN,28784.14,398.74,1.39
201007,2010-07,NON_PRODUCT,1707.16,0.0,0.0
201007,2010-07,PAPER,13573.56,512.67,3.78
201007,2010-07,STORAGE,49727.59,1819.61,3.66
201007,2010-07,VINTAGE,25377.7,534.32,2.11
201008,2010-08,CERAMIC,21841.17,754.91,3.46
201008,2010-08,GLASS,37006.74,602.92,1.63
201008,2010-08,LANTERN,21770.88,787.27,3.62
201008,2010-08,NON_PRODUCT,2031.97,0.0,0.0
201008,2010-08,PAPER,14526.73,355.29,2.45
201008,2010-08,STORAGE,58846.87,1411.07,2.4
201008,2010-08,VINTAGE,27711.31,564.57,2.04
201009,2010-09,CERAMIC,28856.0,773.43,2.68
201009,2010-09,GLASS,27629.26,778.88,2.82
201009,2010-09,LANTERN,30093.75,642.84,2.14
201009,2010-09,NON_PRODUCT,2595.77,0.0,0.0
201009,2010-09,PAPER,31570.34,324.98,1.03
201009,2010-09,STORAGE,54756.44,935.07,1.71
201009,2010-09,VINTAGE,31733.75,876.65,2.76
201010,2010-10,CERAMIC,54501.19,661.46,1.21
201010,2010-10,GLASS,35554.19,823.13,2.32
201010,2010-10,LANTERN,52858.13,816.36,1.54
201010,2010-10,NON_PRODUCT,3462.19,0.0,0.0
201010,2010-10,PAPER,23117.74,409.07,1.77
201010,2010-10,STORAGE,72827.3,1378.14,1.89
201010,2010-10,VINTAGE,36369.77,1126.67,3.1
201011,2010-11,CERAMIC,48251.29,962.47,1.99
201011,2010-11,GLASS,60836.13,1059.09,1.74
201011,2010-11,LANTERN,47493.56,861.19,1.81
201011,2010-11,NON_PRODUCT,3728.07,0.0,0.0
201011,2010-11,PAPER,47444.63,907.54,1.91
201011,2010-11,STORAGE,105932.02,3043.87,2.87
201011,2010-11,VINTAGE,71526.25,1473.0,2.06
201012,2010-12,CERAMIC,42392.86,1112.17,2.62
201012,2010-12,GLASS,43286.04,1177.71,2.72
201012,2010-12,LANTERN,42465.52,1002.72,2.36
201012,2010-12,NON_PRODUCT,3631.44,0.0,0.0
201012,2010-12,PAPER,25409.71,968.67,3.81
201012,2010-12,STORAGE,108608.59,2781.47,2.56
201012,2010-12,VINTAGE,46308.58,1222.77,2.64
201101,2011-01,CERAMIC,20023.22,580.28,2.9
201101,2011-01,GLASS,20962.77,821.52,3.92
201101,2011-01,LANTERN,20642.75,661.72,3.21
201101,2011-01,NON_PRODUCT,1558.4,0.0,0.0
201101,2011-01,PAPER,11849.32,504.95,4.26
201101,2011-01,STORAGE,41500.49,1675.42,4.04
201101,2011-01,VINTAGE,25694.34,1183.83,4.61
201102,2011-02,CERAMIC,18504.12,363.47,1.96
201102,2011-02,GLASS,21101.02,695.54,3.3
201102,2011-02,LANTERN,19707.03,545.22,2.77
201102,2011-02,NON_PRODUCT,1821.27,0.0,0.0
201102,2011-02,PAPER,11772.82,437.68,3.72
201102,2011-02,STORAGE,40994.01,924.37,2.25
201102,2011-02,VINTAGE,21895.4,768.14,3.51
201103,2011-03,CERAMIC,35896.41,670.42,1.87
201103,2011-03,GLASS,27547.42,876.34,3.18
201103,2011-03,LANTERN,26935.05,876.75,3.26
